"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Transformer-Based Direct Speech-To-Speech Translation with Transcoder","T. Kano; S. Sakti; S. Nakamura","Nara Institute of Science and Technology, Japan; Nara Institute of Science and Technology, Japan; Nara Institute of Science and Technology, Japan","2021 IEEE Spoken Language Technology Workshop (SLT)","25 Mar 2021","2021","","","958","965","Traditional speech translation systems use a cascade manner that concatenates speech recognition (ASR), machine translation (MT), and text-to-speech (TTS) synthesis to translate speech from one language to another language in a step-by-step manner. Unfortunately, since those components are trained separately, MT often struggles to handle ASR errors, resulting in unnatural translation results. Recently, one work attempted to construct direct speech translation in a single model. The model used a multi-task scheme that learns to predict not only the target speech spectrograms directly but also the source and target phoneme transcription as auxiliary tasks. However, that work was only evaluated Spanish-English language pairs with similar syntax and word order. With syntactically distant language pairs, speech translation requires distant word order, and thus direct speech frame-to-frame alignments become difficult. Another direction was to construct a single deep-learning framework while keeping the step-by-step translation process. However, such studies focused only on speech-to-text translation. Furthermore, all of these works were based on a recurrent neural net-work (RNN) model. In this work, we propose a step-by-step scheme to a complete end-to-end speech-to-speech translation and propose a Transformer-based speech translation using Transcoder. We compare our proposed and multi-task model using syntactically similar and distant language pairs.","","978-1-7281-7066-4","10.1109/SLT48900.2021.9383496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9383496","speech-to-speech translation;Transcoder;Transformer;sequence-to-sequence model;multitask learning","Recurrent neural networks;Speech recognition;Syntactics;Predictive models;Machine translation;Task analysis;Spectrogram","language translation;learning (artificial intelligence);natural language processing;neural nets;recurrent neural nets;speech processing;speech recognition;speech synthesis","traditional speech translation systems;cascade manner;machine translation;MT;text-to-speech synthesis;step-by-step manner;ASR errors;unnatural translation results;direct speech translation;multitask scheme;target speech spectrograms;target phoneme transcription;Spanish-English language pairs;similar syntax;syntactically distant language pairs;distant word order;speech frame-to-frame alignments;step-by-step translation process;speech-to-text translation;net-work model;step-by-step scheme;complete end-to-end speech-to-speech translation;Transformer-based speech translation;similar language pairs","","20","","20","IEEE","25 Mar 2021","","","IEEE","IEEE Conferences"
"End-to-End Speech Translation With Transcoding by Multi-Task Learning for Distant Language Pairs","T. Kano; S. Sakti; S. Nakamura","Nara Institute of Science and Technology, Ikoma, Japan; Graduate School of Science and Technology, Nara Institute of Science and Technology, Ikoma, Japan; Data Science Center and Graduate School of Science and Technology, Nara Institute of Science and Technology, Ikoma, Japan","IEEE/ACM Transactions on Audio, Speech, and Language Processing","8 May 2020","2020","28","","1342","1355","Directly translating spoken utterances from a source language to a target language is challenging because it requires a fundamental transformation in both linguistic and para/non-linguistic features. Traditional speech-to-speech translation approaches concatenate automatic speech recognition (ASR), text-to-text machine translation (MT), and text-to-speech synthesizer (TTS) by text information. The current state-of-the-art models for ASR, MT, and TTS have mainly been built using deep neural networks, in particular, an attention-based encoder-decoder neural network with an attention mechanism. Recently, several works have constructed end-to-end direct speech-to-text translation by combining ASR and MT into a single model. However, the usefulness of these models has only been investigated on language pairs of similar syntax and word order (e.g., English-French or English-Spanish). For syntactically distant language pairs (e.g., English-Japanese), speech translation requires distant word reordering. Furthermore, parallel texts with corresponding speech utterances that are suitable for training end-to-end speech translation are generally unavailable. Collecting such corpora is usually time-consuming and expensive. This article proposes the first attempt to build an end-to-end direct speech-to-text translation system on syntactically distant language pairs that suffer from long-distance reordering. We train the model on English (subject-verb-object (SVO) word order) and Japanese (SOV word order) language pairs. To guide the attention-based encoder-decoder model on this difficult problem, we construct end-to-end speech translation with transcoding and utilize curriculum learning (CL) strategies that gradually train the network for end-to-end speech translation tasks by adapting the decoder or encoder parts. We use TTS for data augmentation to generate corresponding speech utterances from the existing parallel text data. Our experiment results show that the proposed approach provides significant improvements compared with conventional cascade models and the direct speech translation approach that uses a single model without transcoding and CL strategies.","2329-9304","","10.1109/TASLP.2020.2986886","JSPS KAKENHI(grant numbers:JP17H06101,JP17K00237); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072502","End-to-end speech-to-text translation;automatic speech recognition;machine translation (MT);multi-task learning","Task analysis;Decoding;Speech processing;Recurrent neural networks;Training;Adaptation models","computational linguistics;decoding;language translation;learning (artificial intelligence);natural language processing;neural nets;speech recognition;text analysis","source language;target language;ASR;text-to-text machine translation;MT;text-to-speech synthesizer;TTS;text information;attention-based encoder-decoder neural network;syntactically distant language pairs;speech utterances;training end-to-end speech translation;end-to-end direct speech-to-text translation system;Japanese language pairs;attention-based encoder-decoder model;direct speech translation approach;parallel text data;subject-verb-object word order;SOV word order;curriculum learning;data augmentation;speech translation","","16","","32","IEEE","20 Apr 2020","","","IEEE","IEEE Journals"
"Speech Translation by Confusion Network Decoding","N. Bertoldi; R. Zens; M. Federico","Centro per la Ricerca Scientifica e Tecnologica, ITC IRST, Trento, Italy; Lehrstuhl für Informatik Computer Science Department, RWTH Aachen University, Aachen, Germany; Centro per la Ricerca Scientifica e Tecnologica, ITC IRST, Trento, Italy","2007 IEEE International Conference on Acoustics, Speech and Signal Processing - ICASSP '07","4 Jun 2007","2007","4","","IV-1297","IV-1300","This paper describes advances in the use of confusion networks as interface between automatic speech recognition and machine translation. In particular, it presents an implementation of a confusion network decoder which significantly improves both in efficiency and performance previous work along this direction. The confusion network decoder results as an extension of a state-of-the-art phrase-based text translation system. Experimental results in terms of decoding speed and translation accuracy are reported on a real-data task, namely the translation of plenary speeches at the European Parliament from Spanish to English.","2379-190X","1-4244-0727-3","10.1109/ICASSP.2007.367315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218346","Machine Translation;Speech Translation;Natural Language Processing","Decoding;Speech recognition;Speech processing;Natural languages;Speech analysis;Computer science;Automatic speech recognition;Natural language processing;Information processing;Information analysis","decoding;language translation;speech coding;speech recognition","speech translation;confusion network decoding;automatic speech recognition;machine translation;state-of-the-art phrase-based text translation system;plenary speeches;European Parliament","","20","2","11","IEEE","4 Jun 2007","","","IEEE","IEEE Conferences"
"Some insights from translating conversational telephone speech","G. Kumar; M. Post; D. Povey; S. Khudanpur","Center for Language and Speech Processing, The Johns Hopkins University, Baltimore, MD, USA; Center for Language and Speech Processing, The Johns Hopkins University, Baltimore, MD, USA; Center for Language and Speech Processing, The Johns Hopkins University, Baltimore, MD, USA; Center for Language and Speech Processing, The Johns Hopkins University, Baltimore, MD, USA","2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","14 Jul 2014","2014","","","3231","3235","We report insights from translating Spanish conversational telephone speech into English text by cascading an automatic speech recognition (ASR) system with a statistical machine translation (SMT) system. The key new insight is that the informal register of conversational speech is a greater challenge for ASR than for SMT: the BLEU score for translating the reference transcript is 64%, but drops to 32% for translating automatic transcripts, whose word error rate (WER) is 40%. Several strategies are examined to mitigate the impact of ASR errors on the SMT output: (i) providing the ASR lattice, instead of the 1-best output, as input to the SMT system, (ii) training the SMT system on Spanish ASR output paired with English text, instead of Spanish reference transcripts, and (iii) improving the core ASR system. Each leads to consistent and complementary improvements in the SMT output. Compared to translating the 1-best output of an ASR system with 40% WER using an SMT system trained on Spanish reference transcripts, translating the output lattice of a better ASR system with 35% WER using an SMT system trained on ASR output improves BLEU from 32% to 38%.","2379-190X","978-1-4799-2893-4","10.1109/ICASSP.2014.6854197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6854197","Speech Recognition;Natural Language Processing;Machine Translation;Human Language Technology;Spoken Language Translation","Speech;Lattices;Training;Speech recognition;Conferences;Acoustics;Speech processing","error analysis;language translation;speech recognition","Spanish conversational telephone speech translation;English text;automatic speech recognition system;statistical machine translation system;SMT system;informal register;BLEU score;automatic transcripts;word error rate;WER;ASR errors;SMT output;ASR lattice;Spanish reference transcripts;core ASR system","","3","","20","IEEE","14 Jul 2014","","","IEEE","IEEE Conferences"
"Integration of Speech Recognition and Machine Translation in Computer-Assisted Translation","S. Khadivi; H. Ney","Department of Computer Science, RWTH Aachen University, Aachen, Germany; Department of Computer Science, RWTH Aachen University, Aachen, Germany","IEEE Transactions on Audio, Speech, and Language Processing","21 Oct 2008","2008","16","8","1551","1564","Parallel integration of automatic speech recognition (ASR) models and statistical machine translation (MT) models is an unexplored research area in comparison to the large amount of works done on integrating them in series, i.e., speech-to-speech translation. Parallel integration of these models is possible when we have access to the speech of a target language text and to its corresponding source language text, like a computer-assisted translation system. To our knowledge, only a few methods for integrating ASR models with MT models in parallel have been studied. In this paper, we systematically study a number of different translation models in the context of the N-best list rescoring. As an alternative to the N -best list rescoring, we use ASR word graphs in order to arrive at a tighter integration of ASR and MT models. The experiments are carried out on two tasks: English-to-German with an ASR vocabulary size of 17 K words, and Spanish-to-English with an ASR vocabulary of 58 K words. For the best method, the MT models reduce the ASR word error rate by a relative of 18% and 29% on the 17 K and the 58 K tasks, respectively.","1558-7924","","10.1109/TASL.2008.2004301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4648933","Computer-assisted translation (CAT);speech recognition;statistical machine translation (MT)","Speech recognition;Automatic speech recognition;Natural languages;Vocabulary;Humans;Concurrent computing;Context modeling;Error analysis;Engines","computational linguistics;graph theory;integration;language translation;speech recognition","machine translation;computer-assisted translation;parallel integration;automatic speech recognition;statistical machine translation models;speech-to-speech translation;source language text;word graphs;English-to-German;Spanish-to-English","","16","","33","IEEE","21 Oct 2008","","","IEEE","IEEE Journals"
"Towards Fluent Translations From Disfluent Speech","E. Salesky; S. Burger; J. Niehues; A. Waibel","Carnegie Mellon University, Pittsburgh PA, U.S.A.; Carnegie Mellon University, Pittsburgh PA, U.S.A.; Karlsruhe Institute of Technology, Karlsruhe, Germany; Karlsruhe Institute of Technology, Karlsruhe, Germany","2018 IEEE Spoken Language Technology Workshop (SLT)","14 Feb 2019","2018","","","921","926","When translating from speech, special consideration for conversational speech phenomena such as disfluencies is necessary. Most machine translation training data consists of well-formed written texts, causing issues when translating spontaneous speech. Previous work has introduced an intermediate step between speech recognition (ASR) and machine translation (MT) to remove disfluencies, making the data better-matched to typical translation text and significantly improving performance. However, with the rise of end-to-end speech translation systems, this intermediate step must be incorporated into the sequence-to-sequence architecture. Further, though translated speech datasets exist, they are typically news or rehearsed speech without many disfluencies (e.g. TED), or the disfluencies are translated into the references (e.g. Fisher). To generate clean translations from disfluent speech, cleaned references are necessary for evaluation. We introduce a corpus of cleaned target data for the Fisher Spanish-English dataset for this task. We compare how different architectures handle disfluencies and provide a baseline for removing disfluencies in end-to-end translation.","","978-1-5386-4334-1","10.1109/SLT.2018.8639661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8639661","speech translation;disfluency removal;spoken language translation;spoken language processing","Task analysis;Hidden Markov models;Speech recognition;Training data;Speech processing;Data models;Lapping","language translation;speech recognition","conversational speech phenomena;machine translation training data;end-to-end speech translation systems;sequence-to-sequence architecture;clean translations;disfluent speech;end-to-end translation;fluent translations;speech datasets","","4","","15","IEEE","14 Feb 2019","","","IEEE","IEEE Conferences"
"A Faster Approach For Direct Speech to Speech Translation","R. T. Shankarappa; S. Tiwari","Voice Intelligence Team, Samsung R&D Institute, Bengaluru, India; Voice Intelligence Team, Samsung R&D Institute, Bengaluru, India","2022 IEEE Women in Technology Conference (WINTECHCON)","25 Jul 2022","2022","","","1","6","As the world is pacing towards globalization, the demand for automatic language translators is increasing rapidly. Traditional translation systems consist of multiple steps like speech recognition, text to text machine translation, and speech generation. Issue with these systems are, latency due to multiple steps and error propagation from first steps toward last steps. Another challenge is that many spoken languages do not have text representation, so traditional system involving speech to text and text to text translation do not work. In this paper, we are presenting a recurrent neural network (RNN) based translation system that can generate a direct waveform of target language audio. We have used the sparse coding technique for the extraction and inversion of audio features. An attention-based multi-layered sequence to sequence model is trained using a novel technique on a dataset of Spanish to English audio and no intermediate text representation is used while training or inference. We have done performance comparison of proposed approaches using latency, bilingual evaluation understudy (BLEU) score and Perceptual Evaluation of Speech Quality PESQ score analysis. The resulting system provides a very fast translation with good translation accuracy and audio quality.","","978-1-6654-8674-3","10.1109/WINTECHCON55229.2022.9832314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832314","Speech Signal Processing;Machine Learning;Translation System;Encoder-Decoder","Training;Codes;Recurrent neural networks;Speech coding;Speech recognition;Predictive models;Feature extraction","language translation;natural language processing;recurrent neural nets;speech recognition;text analysis","recurrent neural network based translation system;text translation;spoken languages;error propagation;speech generation;text machine translation;speech recognition;traditional translation systems;automatic language translators;Speech translation;direct Speech;faster approach;audio quality;good translation accuracy;fast translation;Speech Quality PESQ score analysis;intermediate text representation;English audio;attention-based multilayered sequence;audio features;sparse coding technique;target language audio;direct waveform","","1","","30","IEEE","25 Jul 2022","","","IEEE","IEEE Conferences"
"Improving Speech-to-Speech Translation Through Unlabeled Text","X. -P. Nguyen; S. Popuri; C. Wang; Y. Tang; I. Kulikov; H. Gong","Nanyang Technological University, Singapore; Meta AI, USA; Meta AI, USA; Meta AI, USA; Meta AI, USA; Meta AI, USA","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","Direct speech-to-speech translation (S2ST) is among the most challenging problems in the translation paradigm due to the significant scarcity of S2ST data. While effort has been made to increase the data size from unlabeled speech by cascading pretrained speech recognition (ASR), machine translation (MT) and text-to-speech (TTS) models; unlabeled text has remained relatively under-utilized to improve S2ST. We propose an effective way to utilize the massive existing unlabeled text from different languages to create a large amount of S2ST data to improve S2ST performance by applying various acoustic effects to the generated synthetic data. Empirically our method outperforms the state of the art in Spanish-English translation by up to 2 BLEU. Significant gains by the proposed method are demonstrated in extremely low-resource settings for both Spanish-English and Russian-English translations.","","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10095578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10095578","Speech-to-speech translation;augmentation;unlabeled text","Speech recognition;Transforms;Signal processing;Acoustics;Data models;Machine translation;Task analysis","","","","1","","36","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"Investigating translation of Parliament speeches","D. Dechelotte; H. Schwenk; J. L. Gauvain; O. Galibert; L. Lamel","LIMSI-CNRS, Orsay, France; LIMSI-CNRS, Orsay, France; LIMSI-CNRS, Orsay, France; LIMSI-CNRS, Orsay, France; LIMSI-CNRS, Orsay, France","IEEE Workshop on Automatic Speech Recognition and Understanding, 2005.","3 Jan 2006","2005","","","116","120","This paper reports on recent experiments for speech to text (STT) translation of European Parliamentary speeches. A Spanish speech to English text translation system has been built using data from the TC-STAR European project. The speech recognizer is a state-of-the-art multipass system trained for the Spanish EPPS task and the statistical translation system relies on the IBM-4 model. First, MT results are compared using manual transcriptions and 1-best ASR hypotheses with different word error rates. Then, a n-best interface between the ASR and MT components is investigated to improve the STT process. Derivation of the fundamental equation for machine translation suggests that the source language model is not necessary for STT. This was investigated by using weak source language models and by n-best rescoring adding the acoustic model score only. A significant loss in the BLEU score was observed suggesting that the source language model is needed given the insufficiencies of the translation model. Adding the source language model score in the n-best rescoring process recovers the loss and slightly improves the BLEU score over the 1-best ASR hypothesis. The system achieves a BLEU score of 37.3 with an ASR word error rate of 10% and a BLEU score of 40.5 using the manual transcripts","","0-7803-9478-X","10.1109/ASRU.2005.1566514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566514","","Speech recognition;Automatic speech recognition;Natural languages;Speech synthesis;Error analysis;Statistics;Equations;Humans;Vocabulary","language translation;natural languages;speech recognition;speech synthesis","speech to text translation;European Parliamentary speeches;speech recognizer;multipass system;machine translation;source language model;BLEU score","","","","17","IEEE","3 Jan 2006","","","IEEE","IEEE Conferences"
"Experiments in word-reordering and morphological preprocessing for transducer-based statistical machine translation","A. de Gispert; J. B. Marino","TALP Research Center, Universitat Poliltècnica de Catalunya, Barcelona, Spain; TALP Research Center, Universitat Poliltècnica de Catalunya, Barcelona, Spain","2003 IEEE Workshop on Automatic Speech Recognition and Understanding (IEEE Cat. No.03EX721)","2 Aug 2004","2003","","","634","639","Statistical speech translation can be achieved by an integrated search procedure that produces speech recognition and translation at the same time. Based on finite-state transducers and Viterbi search, the approach forces the rewriting of the target language in a set of modified units (with zero, one or more original words) to preserve the monotonicity of the search over the speech signal without changing the word order in the target language. In this paper, we analyse the effect of non-monotonic word alignments in two different Spanish to English translation tasks (speech-aimed small-vocabulary Verbmobil task and text-aimed large-vocabulary European Parliament task), revealing the most frequent cross patterns and experimenting with reordering strategies to improve the transducer probabilities. In addition, some preliminary results are presented on introducing POS-tagging and lemmatization, as well as some preprocessing such as categorization, to help improving the training of the system.","","0-7803-7980-2","10.1109/ASRU.2003.1318514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1318514","","Natural languages;Equations;Speech recognition;Acoustic transducers;Speech processing;Text recognition;Viterbi algorithm;Pattern analysis;Speech analysis;Vocabulary","language translation;speech recognition","word-reordering;morphological preprocessing;transducer-based statistical machine translation;integrated search procedure;integrated speech recognition/translation;finite-state transducers;Viterbi search;search monotonicity;nonmonotonic word alignments;Spanish/English translation;speech-aimed small vocabulary Verbmobil task;text-aimed large-vocabulary European Parliament task;cross patterns;POS-tagging;lemmatization;categorization","","","","14","IEEE","2 Aug 2004","","","IEEE","IEEE Conferences"
